question;reponse;chemin_image
Que signifie ce pictogramme?;Handicap moteur;HandicapMoteur.png
Que signifie ce pictogramme?;Handicap visuel;HandicapVisuel.png
Que signifie ce pictogramme?;Handicap auditif;HandicapAuditif.png
Que signifie ce pictogramme?;Handicap mental/psychique;HandicapMental.png
Que signifie ce pictogramme?;Ascenseur pouvant accueillir un fauteuil roulant;AscenseurFauteuil.png
Que signifie ce pictogramme?;Les chiens guide sont autorisés à entrer dans un site;ChiensGuide.png
Que signifie ce pictogramme?;Handicap moteur;HandicapMoteur2.png
Que signifie ce pictogramme?;Handicap visuel;HandicapVisuel2.png
Que signifie ce pictogramme?;Handicap auditif;HandicapAuditif2.png
Que signifie ce pictogramme?;Déficience intellectuelle ou handicap mental;HandicapMental2.png
Que signifie ce pictogramme?;Zones accessibles pour les personnes malvoyantes ou aveugles;AcessibleMalvoyants.png
Que signifie ce pictogramme?;Indique la présence dun accès adapté aux personnes à mobilité réduite;AccessibleFauteuil.png
Que signifie ce pictogramme?;Langage des signes;LangageSigne.png
Que signifie ce pictogramme?;Site accessible aux personnes atteintes de mutisme;AcessibleMutisme.png
Que signifie ce pictogramme?;Accessibilité braille;AccessibleBraille.png
Que signifie ce pictogramme?;Accessibilité douche;AccessibiliteDouche.png
Que signifie ce pictogramme?;Information boucle magnétique;InfoBoucleMagetique.png
Que signifie ce pictogramme?;Déficience psychique ou maladie mentale;HandicapMental3.png
Que signifie ce pictogramme?;Maladies invalidantes;MaladiesInvalidantes.png
Que signifie ce pictogramme?;Déficience motrice (amputation);Amputation.png
Que signifie ce pictogramme?;Allergies;Allergies.png
Que signifie ce pictogramme?;Maladies cardio-vasculaires;MaladiesCardio.png
Que signifie ce pictogramme?;Handicap International;HandicapInternational.png
Que signifie ce pictogramme?;Handicap invisible;HandicapInvisible.png
