question;reponse;chemin_image
A quel pourcentage se situe l'obligation d'emploi de personnes handicapées dans les entreprises du secteur privé ou public? 2%,  6% ou 10%;6%;
A quelle date la loi handicap a-t-elle été promulguée en France ?;le 11 février 2005;
Quel est l'objectif principal de la loi handicap?;Garantir l'égalité des droits et des chances pour les personnes en situation de handicap;
Quels sont les 5 points importants de la loi handicap du 11 février 2005?;La compensation, La scolarité, L'accessibilité, Les Maisons Départementales des Personnes Handicapées et l'emploi;
Quelle institution est chargée de l'application de la loi handicap ?;La MDPH;
Comment la loi handicap définit-elle le handicap ?;Comme une altération durable ou définitive d'une ou plusieurs fonctions;
Quels types de handicaps sont pris en compte par cette loi ?;Moteur, Sensoriel, Cognitif, Psychique et Personnes à mobilité réduite (y compris de manière temporaire);
La loi handicap impose-t-elle des aménagements pour les personnes handicapées dans les lieux publics ?;Oui elle impose des aménagements pour l'accessibilité;
Qu'est-ce que le principe d'accessibilité universelle dans la loi handicap ?;C'est le droit d'accéder à tous les services à tous les handicapés;
Qu'est-ce qu'un emploi réservé selon la loi handicap ?;C'est un emploi uniquement accessible aux personnes handicapées;
Quelle est la sanction pour non-respect de la loi handicap ?;Des amandes et potentiellement des peines de prison;
Qu'est-ce que l'égalité des chances selon la loi du 11 février 2005 ?;L'égalité des chances désigne le principe selon lequel toutes les personnes doivent avoir les mêmes opportunités pour réaliser leur potentiel, indépendamment de leur situation personnelle ou sociale;
Qu'est-ce que la citoyenneté des personnes handicapées selon la loi du 11 février 2005 ?;La citoyenneté des personnes handicapées désigne l'ensemble des droits et des devoirs associés à la qualité de citoyen pour les personnes handicapées. La loi vise à garantir et à faciliter l'exercice de cette égalité;
Quels sont les 4 familles de handicap ?;Moteur, Sensoriel, Cognitif, Psychique (inclus les personnes à mobilité réduite (y compris de manière temporaire);
Que signifie RQTH ?;Reconnaissance de la Qualité de Travailleur Handicapé;
Où trouve-t-on les MDPH? Dans chaque département, chaque région ou chaque commune;Dans chaque département;
Quels sont les 2 dispositifs complémentaires mis en place par la politique du handicap ?;La compensation du handicap (en particulier par la prestation de compensation du handicap - PCH) et l'obligation d'accessibilité ;
Qu'est-ce que l'égalité des droits selon la loi du 11 février 2005 ?;L'égalité des droits désigne le principe selon lequel tous les individus ont les mêmes droits et doivent être traités de la même manière par la loi, sans discrimination;
