question;reponse;chemin_image
Que signifie l'acronyme FIPHFP ?;Fonds pour l'Insertion des Personnes Handicapées dans la Fonction Publique;
Que signifie l'acronyme AGEFIPH ?;Association de GEstion du Fonds pour l'Insertion des Personnes Handicapées;
Comment s'appelle la carte qui facilite l'accès aux transports en commun ou aux places de parking réservées aux personnes handicapées;La carte mobilité inclusion (CMI);
Comment s'appelle l'aide financière pour les travailleurs à revenus modestes ?;La prime d'activité;
Comment s'appelle l'aide financière versée aux personnes dont la capacité de travail est réduite à la suite d'un accident ou une maladie ?;La pension d'invalidité;
Comment s'appelle l'aide financière qui permet de financer l'aménagement du domicile et qui peut s'ajouter à l'AAH ou à l'ASI (allocation supplémentaire d'invalidité) ?;La majoration pour la vie autonome (MVA);
Qu'est-ce que la prestation de Compensation du Handicap ? (PCH);Il s'agit d'une aide financière versée par le département et destinée à rembourser les dépenses liées à la perte d'autonomie ;
Que signifie l'acronyme PCH ?;Prestation de compensation du handicap;
Comment s'appelle l'aide financière personnalisée attribuée par la MDPH, versée par le Conseil Départemental et destinée à compenser des charges précises ? (aides humaines, techniques, aménagements,);La Prestation de compensation du handicap;
Comment s'appelle l'aide financière pour les travailleurs à revenus modestes ?;La prime d'activité;
Comment s'appelle l'aide financière versée aux personnes dont la capacité de travail est réduite suite à un accident ou une maladie ?;La pension d'invalidité;
Comment s'appelle l'aide financière qui permet de faire face aux dépenses liées au handicap et qui peut s'ajouter à l'AAH ?;La majoration pour la vie autonome (MVA);
Qu'est-ce que l'AAH ?;Il s'agit d'une allocation soumise à des conditions de ressources et qui vise à soutenir les adultes en situation de handicap;
Que signifie l'acronyme AEEH ?;Il s'agit d'une aide financière destinée à compenser les dépenses liées à la situation de handicap de l'enfant de moins de 20 ans;
