question;reponse;chemin_image
Comment s'appelle l'établissement qui permet aux personnes en situation de handicap d'exercer une activité professionnelle tout en bénéficiant d'un soutien médico-social et éducatif dans un milieu protégé ?;Un ESAT (Etablissement et Service d'Aide par le Travail);
Comment s'appelle l'établissement du milieu ordinaire, soumis aux dispositions du code du travail et qui a la spécificité d'employer au moins 55 % de travailleurs handicapés parmi ses effectifs de production ?;Une EA (Entreprise Adaptée);
Comment s'appelle l'établissements qui accueille des personnes en situation de handicap qui ont besoin d'une tierce personne pour réaliser la plupart des actes essentiels de la vie courante (s'habiller, se déplacer...), et d'une surveillance médicale avec des soins constants ?;Un FAM (Foyer d'accueil médicalisé);
Comment s'appelle l'établissement qui accueille et propose un hébergement permanent, des soins médicaux et des activités de vie sociale à des personnes plus dépendantes que la population hébergée en foyer d'accueil médicalisé (Fam) ?;Une MAS (Maison d'Accueil Spécialisée);
Comment s'appellent les services qui ont pour but de soutenir les personnes adultes handicapées dans la réalisation de leur projet de vie ?;Les SAVS (Services d'Accompagnement à la Vie Sociale);
Comment s'appelle le service qui a pour objectif un accompagnement médico-social adapté comportant des prestations de soins.;Le SAMSAH (Service d'Accompagnement Médico-social pour Adultes Handicapés);
Comment s'appellent les services qui permettent de recevoir chez vous des soins infirmiers et d'hygiène ?;Les SSIAD (Services de Soins Infirmiers à Domicile);
Comment s'appellent les services qui assurent à la fois des missions de soins infirmiers à domicile et des prestations d'aide à domicile ?;Les SPASAD (Services Polyvalents d'Aide et de Soins à Domicile);
Quelles sont les obligations d'une entreprise en matière de handicap ? (En citer 2);Rendre les lieux de travail accessibles, Mettre en place des aménagements de poste, Embaucher un certain « quota » de travailleurs handicapés;
En emploi, quels sont les différents aménagements de postes possibles ? (En citer 2);Matériel :Mobilier:bureaux, fauteuils, éclairages. Outils de travail:logiciels, ordinateurs, tel portables. Organisation : horaires de travail, supervision de certaines tâches. Aide humaine:présence d'une auxiliaire de vie pour épauler dans certaines taches. Transports. Poste:ergo;
Que signifie l'acronyme « PCH » ?;Prestation de Compensation du Handicap;
Que signifie l'acronyme « OETH » ?;Il s'agit de l'Obligation d'Emploi de Travailleur Handicapé;
Quelle association accompagne  financièrement l'entreprise pour le développement de l'emploi des personnes handicapées ?;L'AGEFIPH Association de Gestion du fonds pour l'insertion professionnelle des personnes handicapées;
Auprès de quel organisme les services publics peuvent t-ils s'appuyer pour favoriser l'insertion et le maintien dans l'emploi des travailleurs handicapés ?;Le FIPHFP Fonds pour l'Insertion des Personnes Handicapées dans la Fonction Publique;
Quelle décision administrative décidée par la MDPH permet de bénéficier, par exemple, d'aides d'aménagements au poste ?;La RQTH;
Quels aménagements matériels une entreprise peut-elle mettre en place  ?;Structure : rampes d'accès, ascenseurs adaptés, espaces de stationnement réservés. Mobilier : bureaux, fauteuils, éclairages. Outils de travail : logiciels, ordinateurs, clavier ergonomique, souris, formats de communication accessibles (braille,).;
Pourquoi est-il important de sensibiliser les employés ou le collectif de travail au handicap ?;La sensibilisation : Aide à briser les stéréotypes. Promouvoit une meilleure compréhension des défis rencontrés par les personnes en situation de handicap. Créé un environnement inclusif.;
